game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season
21500523,2016-01-05,DAL vs. SAC,1610612758,f,L,14.0,21.0,0.4,290,47.0,99.0,0.475,12.0,32.0,0.375,10.0,14.0,1.0,9.0,40.0,49,27.0,16.0,1.0,19.0,21.0,116,1610612742,2015,Regular Season,2015-16
21500457,2015-12-27,POR @ SAC,1610612758,t,L,12.0,18.0,0.4,240,30.0,76.0,0.395,9.0,24.0,0.375,25.0,31.0,1.0,7.0,36.0,43,22.0,10.0,5.0,22.0,22.0,94,1610612757,2015,Regular Season,2015-16
21500084,2015-11-06,HOU @ SAC,1610612758,t,L,1.0,5.0,0.167,240,40.0,93.0,0.43,9.0,28.0,0.321,21.0,29.0,1.0,14.0,29.0,43,26.0,14.0,3.0,15.0,19.0,110,1610612745,2015,Regular Season,2015-16
21501222,2016-04-13,CHI vs. PHI,1610612755,f,L,10.0,72.0,0.122,240,37.0,81.0,0.457,17.0,35.0,0.486,14.0,18.0,1.0,4.0,27.0,31,28.0,10.0,7.0,13.0,24.0,105,1610612741,2015,Regular Season,2015-16
21501214,2016-04-12,TOR vs. PHI,1610612755,f,L,10.0,71.0,0.123,240,35.0,77.0,0.455,15.0,35.0,0.429,13.0,25.0,1.0,7.0,25.0,32,24.0,8.0,6.0,13.0,18.0,98,1610612761,2015,Regular Season,2015-16
21501091,2016-03-26,POR vs. PHI,1610612755,f,L,9.0,64.0,0.123,240,39.0,93.0,0.419,10.0,38.0,0.263,17.0,24.0,1.0,10.0,43.0,53,21.0,5.0,6.0,13.0,22.0,105,1610612757,2015,Regular Season,2015-16
21501021,2016-03-18,OKC @ PHI,1610612755,t,L,9.0,60.0,0.13,240,35.0,89.0,0.393,10.0,29.0,0.345,17.0,27.0,1.0,10.0,26.0,36,24.0,11.0,5.0,8.0,17.0,97,1610612760,2015,Regular Season,2015-16
21500999,2016-03-15,BKN vs. PHI,1610612755,f,L,9.0,58.0,0.134,240,41.0,88.0,0.466,11.0,30.0,0.367,21.0,26.0,1.0,9.0,25.0,34,26.0,6.0,4.0,17.0,21.0,114,1610612751,2015,Regular Season,2015-16
21500964,2016-03-11,BKN @ PHI,1610612755,t,W,9.0,56.0,0.138,240,38.0,84.0,0.452,9.0,28.0,0.321,10.0,15.0,1.0,11.0,38.0,49,25.0,5.0,6.0,16.0,20.0,95,1610612751,2015,Regular Season,2015-16
21500951,2016-03-09,HOU @ PHI,1610612755,t,L,8.0,56.0,0.125,240,35.0,86.0,0.407,12.0,33.0,0.364,22.0,32.0,1.0,16.0,26.0,42,23.0,8.0,5.0,18.0,28.0,104,1610612745,2015,Regular Season,2015-16
21500791,2016-02-10,SAC @ PHI,1610612755,t,L,8.0,45.0,0.151,240,42.0,91.0,0.462,15.0,35.0,0.429,11.0,17.0,1.0,18.0,26.0,44,29.0,9.0,10.0,19.0,21.0,110,1610612758,2015,Regular Season,2015-16
21500736,2016-02-03,ATL @ PHI,1610612755,t,L,7.0,42.0,0.143,240,35.0,84.0,0.417,6.0,27.0,0.222,10.0,14.0,1.0,6.0,32.0,38,27.0,7.0,10.0,23.0,20.0,86,1610612737,2015,Regular Season,2015-16
21500615,2016-01-18,NYK vs. PHI,1610612755,f,L,5.0,38.0,0.116,290,45.0,102.0,0.441,10.0,28.0,0.357,13.0,25.0,1.0,7.0,44.0,51,27.0,9.0,7.0,13.0,25.0,113,1610612752,2015,Regular Season,2015-16
21500606,2016-01-16,POR @ PHI,1610612755,t,W,5.0,37.0,0.119,240,42.0,76.0,0.553,10.0,23.0,0.435,20.0,30.0,1.0,3.0,42.0,45,27.0,9.0,8.0,13.0,25.0,114,1610612757,2015,Regular Season,2015-16
21500559,2016-01-10,CLE @ PHI,1610612755,t,L,4.0,36.0,0.1,240,35.0,77.0,0.455,6.0,18.0,0.333,9.0,19.0,0.0,7.0,41.0,48,22.0,6.0,7.0,19.0,18.0,85,1610612739,2015,Regular Season,2015-16
21500494,2016-01-01,LAL vs. PHI,1610612755,f,L,3.0,32.0,0.086,240,31.0,84.0,0.369,4.0,24.0,0.167,18.0,25.0,1.0,13.0,37.0,50,21.0,6.0,10.0,16.0,21.0,84,1610612747,2015,Regular Season,2015-16
21500419,2015-12-22,MEM @ PHI,1610612755,t,L,1.0,29.0,0.033,240,31.0,66.0,0.47,7.0,23.0,0.304,21.0,32.0,1.0,10.0,32.0,42,19.0,6.0,3.0,26.0,21.0,90,1610612763,2015,Regular Season,2015-16
21500388,2015-12-18,NYK @ PHI,1610612755,t,L,1.0,27.0,0.036,240,37.0,77.0,0.481,6.0,24.0,0.25,17.0,30.0,1.0,4.0,32.0,36,15.0,7.0,5.0,15.0,22.0,97,1610612752,2015,Regular Season,2015-16
21500335,2015-12-11,DET @ PHI,1610612755,t,L,1.0,23.0,0.042,240,36.0,80.0,0.45,6.0,18.0,0.333,17.0,24.0,1.0,13.0,31.0,44,22.0,5.0,5.0,21.0,16.0,95,1610612765,2015,Regular Season,2015-16
21500271,2015-12-02,NYK vs. PHI,1610612755,f,L,1.0,19.0,0.05,240,32.0,86.0,0.372,9.0,30.0,0.3,14.0,24.0,1.0,7.0,35.0,42,11.0,8.0,7.0,13.0,19.0,87,1610612752,2015,Regular Season,2015-16
21501137,2016-04-01,WAS @ PHX,1610612756,t,L,20.0,56.0,0.263,240,36.0,93.0,0.387,7.0,23.0,0.304,20.0,26.0,1.0,17.0,39.0,56,19.0,5.0,3.0,16.0,22.0,99,1610612764,2015,Regular Season,2015-16
21501065,2016-03-23,LAL @ PHX,1610612756,t,W,20.0,51.0,0.282,240,47.0,93.0,0.505,13.0,28.0,0.464,12.0,20.0,1.0,15.0,37.0,52,31.0,6.0,4.0,13.0,21.0,119,1610612747,2015,Regular Season,2015-16
