person_id,display_first_last,from_year,to_year,draft_year,height_feet,height_inches,weight,team_id,jersey,school,country
77308,Joel Kramer,1978,1982,1978,6,7,203,1610612756,50,San Diego State,USA
77309,Dan Kraus,1948,1948,1948,6,0,195,1610610024,,Georgetown,USA
77310,Herb Krautblatt,1948,1948,1948,6,1,190,1610610024,,Rider,USA
77311,Jim Krebs,1957,1963,1957,6,8,230,1610612747,32,Southern Methodist,USA
77312,Wayne Kreklow,1980,1980,1979,6,4,175,1610612738,20,Drake,USA
77313,Tom Kron,1966,1968,1966,6,5,200,1610612760,11,Kentucky,USA
77316,Steve Kuberski,1969,1977,1969,6,8,215,1610612738,33,Bradley,USA
77317,Leo Kubiak,1949,1949,1948,5,11,160,1610610037,,Bowling Green,USA
77319,Frank Kudelka,1949,1952,,6,2,193,1610610024,14,St. Mary's (CA),USA
77320,John Kuester,1977,1979,1977,6,2,180,1610612758,5,North Carolina,USA
77322,Ray Kuka,1947,1948,,6,3,200,1610612752,12,Notre Dame,USA
77323,Kevin Kunnert,1973,1981,1973,7,0,230,1610612745,44,Iowa,USA
77324,Mitch Kupchak,1976,1985,1976,6,9,230,1610612764,25,North Carolina,USA
77325,Charles Kupec,1975,1977,1975,6,6,220,1610612747,25,Michigan,USA
77328,Tom LaGarde,1977,1984,1977,6,10,220,1610612742,34,North Carolina,USA
77329,Pete Lalich,1946,1946,,6,2,190,1610610026,,Ohio,USA
77331,John Lambert,1975,1981,1975,6,10,225,1610612739,24,Southern California,USA
77332,Jeff Lamp,1981,1988,1981,6,6,195,1610612757,3,Virginia,USA
77333,Jim Lampley,1986,1986,1983,6,10,230,1610612755,11,Arkansas-Little Rock,USA
77334,Mark Landsberger,1977,1983,1977,6,8,215,1610612747,54,Arizona State,USA
77338,Stu Lantz,1968,1975,1968,6,3,175,1610612745,23,Nebraska,USA
77339,York Larese,1961,1961,1961,6,4,183,1610612744,34,North Carolina,USA
77340,Rudy LaRusso,1959,1968,1959,6,8,220,1610612747,35,Dartmouth,USA
77341,John Laskowski,1975,1976,1975,6,6,185,1610612741,31,Indiana,USA
77344,Rich Laurel,1977,1977,1977,6,6,190,1610612749,5-12,Hofstra,USA
77345,Walt Lautenbach,1949,1949,,6,2,185,1610610033,,Wisconsin,USA
77346,Tony Lavelli,1949,1950,1949,6,3,185,1610612738,6-16,Yale,USA
77347,Bob Lavoy,1950,1953,1950,6,7,185,1610610030,16,Western Kentucky,USA
77348,Ed Lawrence,1980,1980,1976,6,11,228,1610612765,,McNeese State,USA
77350,Dennis Layton,1971,1977,1971,6,1,180,1610612756,1,Southern California,USA
77351,Emanuel Leaks,1972,1973,1968,6,8,225,1610612755,24,Niagara,USA
77352,Hal Lear,1956,1956,1956,5,11,163,1610612744,16,Temple,USA
77353,Allen Leavell,1979,1988,1979,6,1,170,1610612745,30,Oklahoma City,USA
77356,Butch Lee,1978,1979,1978,6,0,185,1610612737,15,Marquette,USA
77357,Clyde Lee,1966,1975,1966,6,10,205,1610612744,34,Vanderbilt,USA
77358,Doug Lee,1991,1994,1987,6,5,200,1610612751,20,Purdue,USA
77359,George Lee,1960,1967,1959,6,4,200,1610612765,9,Michigan,USA
77360,Greg Lee,1975,1975,1974,6,3,190,1610612757,42,UCLA,USA
77362,Kurk Lee,1990,1990,,6,3,190,1610612751,20,Towson,USA
77363,Rock Lee,1981,1981,,6,10,220,1610612746,34,San Diego State,USA
77364,Ron Lee,1976,1981,1976,6,3,193,1610612756,30,Oregon,USA
77365,Russell Lee,1972,1974,1972,6,5,185,1610612749,11,Marshall,USA
77367,Hank Lefkowitz,1946,1946,,6,2,190,1610610026,,Case Western Reserve,USA
77369,George Lehmann,1967,1968,,6,0,180,1610612737,20,Campbell,USA
77370,Gary Leonard,1989,1991,1989,7,1,250,1610612750,34,Missouri,USA
77371,Bob Leonard,1956,1962,1954,6,3,185,1610612747,21,Indiana,USA
77372,Jim Les,1988,1994,1986,5,11,165,1610612758,14,Bradley,USA
77373,Ronnie Lester,1980,1985,1980,6,2,175,1610612741,12,Iowa,USA
77374,Clifford Lett,1989,1990,,6,3,170,1610612759,11,Florida,USA
77375,Andrew Levane,1948,1952,,6,2,190,1610612755,3,St. John's (NY),USA
77376,Lafayette Lever,1982,1993,1982,6,3,170,1610612743,21,Arizona State,USA
77377,Cliff Levingston,1982,1994,1982,6,8,210,1610612737,53,Wichita State,USA
77379,Fred Lewis,1948,1949,,6,2,195,1610610024,,Eastern Kentucky,USA
77380,Freddie Lewis,1966,1976,1966,6,0,175,1610612754,1,Arizona State,USA
77381,Grady Lewis,1946,1948,,6,7,215,1610610028,,Oklahoma,USA
77383,Ralph Lewis,1987,1989,1985,6,6,200,1610612765,11,La Salle,USA
77384,Reggie Lewis,1987,1992,1987,6,7,195,1610612738,35,Northeastern,USA
77385,Bobby Lewis,1967,1970,1967,6,3,175,1610612744,5,North Carolina,USA
77386,Marcus Liberty,1990,1993,1990,6,8,205,1610612743,30,Illinois,USA
77387,Todd Lichti,1989,1993,1989,6,4,205,1610612743,30,Stanford,USA
77388,Bill Ligon,1974,1974,1974,6,4,180,1610612765,26,Vanderbilt,USA
77389,Steve Lingenfelter,1982,1983,1981,6,9,225,1610612764,25,South Dakota State,USA
77392,Ron Livingstone,1949,1950,1949,6,10,220,1610612744,6,Wyoming,USA
77394,Earl Lloyd,1950,1959,1950,6,6,200,1610612755,17,West Virginia State,USA
77395,Lewis Lloyd,1981,1989,1981,6,6,205,1610612745,32,Drake,USA
77396,Scott Lloyd,1976,1982,1976,6,10,230,1610612742,44,Arizona State,USA
77397,Bob Lochmueller,1952,1952,1952,6,5,185,1610612755,14,Louisville,USA
77398,Robert Lock,1988,1988,1988,6,9,225,1610612746,44,Kentucky,USA
77399,Darrell Lockhart,1983,1983,1983,6,9,245,1610612759,32,Auburn,USA
77401,Kevin Loder,1981,1983,1981,6,6,205,1610612758,9,Alabama State,USA
77402,Don Lofgran,1950,1953,1950,6,5,200,1610610030,8,San Francisco,USA
77403,Johnny Logan,1946,1950,,6,2,175,1610610034,17,Indiana,USA
77406,Paul Long,1967,1970,1967,6,2,180,1610612765,5,Wake Forest,USA
77409,Jim Loscutoff,1955,1963,1955,6,5,220,1610612738,18,Oregon,USA
77410,Plummer Lott,1967,1968,1967,6,5,210,1610612760,43,Seattle,USA
77411,Kevin Loughery,1962,1972,1962,6,3,190,1610612764,22,St. John's (NY),USA
77412,Bob Love,1966,1976,1965,6,8,215,1610612741,10,Southern,USA
77413,Stan Love,1971,1974,1971,6,9,215,1610612764,34,Oregon,USA
77414,Clyde Lovellette,1953,1963,1952,6,9,234,1610612747,34,Kansas,USA
77415,Sidney Lowe,1983,1989,1983,6,0,195,1610612750,35,North Carolina State,USA
77417,Al Lucas,1948,1948,,6,3,195,1610612738,20,Fordham,USA
77419,John Lucas,1976,1989,1976,6,3,175,1610612745,10,Maryland,USA
77420,Maurice Lucas,1976,1987,1974,6,9,215,1610612757,20,Marquette,USA
77421,Ted Luckenbill,1961,1962,1961,6,6,205,1610612744,12,Houston,USA
77422,Jim Luisi,1953,1953,1951,6,2,180,1610610024,,St. Francis (NY),USA
77423,Al Lujack,1946,1946,,6,3,220,1610610036,,Georgetown,USA
77424,Phil Lumpkin,1974,1975,1974,6,0,165,1610612757,10,Miami (Ohio),USA
77425,Ray Lumpp,1948,1952,1948,6,1,178,1610612752,,New York University,USA
77426,Kevin Lynch,1991,1992,1991,6,5,195,1610612766,9,Minnesota,USA
77427,Mike Lynn,1969,1970,1968,6,7,215,1610612747,25,UCLA,USA
77428,Mike Macaluso,1973,1973,1973,6,5,210,1610612746,21,Canisius,USA
77429,Ed Macauley,1949,1958,1949,6,8,185,1610612738,22,St. Louis,USA
77430,Ronnie MacGilvray,1954,1954,1952,6,2,185,1610612737,8,St. John's (NY),USA
77432,Ollie Mack,1979,1981,1979,6,3,185,1610612742,17,East Carolina,USA
77438,Kyle Macy,1980,1986,1979,6,3,175,1610612756,44,Kentucky,USA
77439,Jack Maddox,1948,1948,,6,2,185,1610610029,,West Texas A&M,USA
77441,Norm Mager,1950,1950,1950,6,5,185,1610610024,,City College of New York,USA
77442,Dave Magley,1982,1982,1982,6,8,202,1610612739,30,Kansas,USA
77443,John Mahnken,1946,1952,,6,8,220,1610612738,16,Georgetown,USA
77444,Francis Mahoney,1952,1953,1950,6,2,205,1610612738,,Brown,USA
77447,Lionel Malamed,1948,1948,,5,9,150,1610610029,,City College of New York,USA
77449,Moses Malone,1976,1994,,6,10,215,1610612745,24,Petersburg HS (VA),USA
77450,Steve Malovic,1979,1979,1978,6,10,230,1610612746,,San Diego State,USA
77451,Ted Manakas,1973,1973,1973,6,2,180,1610612758,23,Princeton,USA
77452,John Mandic,1948,1949,1947,6,4,205,1610610029,,Oregon State,USA
77453,Frank Mangiapane,1946,1946,,5,10,195,1610612752,5,New York University,USA
77454,Ed Manning,1967,1970,1967,6,7,210,1610612764,35,Jackson State,USA
77456,Pace Mannion,1983,1988,1983,6,7,190,1610612762,5,Utah,USA
77457,Nick Mantis,1959,1962,1959,6,3,190,1610612764,23,Northwestern,USA
77460,Roy Marble,1989,1993,1989,6,6,190,1610612737,5,Iowa,USA
77462,Saul Mariaschin,1947,1947,1947,5,11,165,1610612738,4,Harvard,USA
77464,Harvey Marlatt,1970,1972,,6,3,185,1610612765,26,Eastern Michigan,USA
77465,Eric Marsh,1977,1977,1977,6,3,200,1610612744,21,Manhattan,USA
77466,Jim Marsh,1971,1971,1968,6,7,215,1610612757,41,Southern California,USA
77467,Tom Marshall,1954,1958,1954,6,4,215,1610612758,20,Western Kentucky,USA
77468,Vester Marshall,1973,1973,,6,7,200,1610612760,45,Oklahoma,USA
77469,Brian Martin,1985,1985,1984,6,9,212,1610612757,35,Kansas,USA
77471,Donald Martin,1946,1947,,5,8,160,1610610032,,Georgetown,USA
77472,Fernando Martin,1986,1986,1985,6,9,220,1610612757,10,Real Madrid,Spain
77474,Jeff Martin,1989,1990,1989,6,5,195,1610612746,15,Murray State,USA
77475,Larue Martin,1972,1975,1972,6,11,208,1610612757,35,Loyola-Chicago,USA
77476,Mo Martin,1986,1987,1986,6,6,200,1610612743,11,St. Joseph's (PA),USA
77478,Bob Martin,1993,1994,,7,0,250,1610612746,42,Minnesota,USA
77479,Ronald Martin,1961,1961,1961,6,2,185,1610612752,7,St. Bonaventure,USA
77480,Slater Martin,1949,1959,,5,10,170,1610612747,22,Texas-Austin,USA
77481,Bill Martin,1985,1987,1985,6,7,205,1610612754,26,Georgetown,USA
77482,Al Masino,1952,1953,,5,10,174,1610612737,12,Canisius,USA
77483,Eddie Mast,1970,1972,1969,6,9,220,1610612752,25,Temple,USA
77484,Wes Matthews,1980,1989,1980,6,1,170,1610612737,1,Wisconsin,USA
77485,Ariel Maughan,1946,1950,,6,4,190,1610610034,,Utah State,USA
77486,Marlon Maxey,1992,1993,1992,6,8,250,1610612750,25,Texas-El Paso,USA
77487,Cedric Maxwell,1977,1987,1977,6,8,205,1610612738,31,North Carolina-Charlotte,USA
77489,Don May,1968,1974,1968,6,4,200,1610612737,23,Dayton,USA
77490,Scott May,1976,1982,1976,6,6,215,1610612741,24,Indiana,USA
77492,Clyde Mayes,1975,1976,1975,6,8,225,1610612749,22,Furman,USA
77494,Ken Mayfield,1975,1975,1971,6,2,185,1610612752,16,Tuskegee,USA
77495,Bill Mayfield,1980,1980,,6,7,205,1610612744,36,Iowa,USA
77496,Travis Mays,1990,1992,1990,6,2,190,1610612758,1,Texas-Austin,USA
77497,Matt Mazza,1949,1949,,6,3,210,1610610033,,Michigan State,USA
